LinJ.01	1-24471d	100.000	645	0	0	1	645	654	10	0.0	1192	660
LinJ.02	2-193840r	100.000	439	0	0	31	469	1	439	0.0	811	481
LinJ.02	36-2489349r	100.000	31	0	0	79	109	105	135	6.51e-10	58.4	197
LinJ.02	2-312871d	100.000	458	0	0	1	458	133	590	0.0	846	615
LinJ.02	2-283430d	100.000	458	0	0	1	458	133	590	0.0	846	615
LinJ.02	2-312871d	100.000	458	0	0	1	458	133	590	0.0	846	615
LinJ.02	2-283430d	100.000	458	0	0	1	458	133	590	0.0	846	615
LinJ.03	3-172850d	100.000	401	0	0	1	401	401	1	0.0	741	411
LinJ.03	3-254841d	100.000	496	0	0	1	496	496	1	0.0	917	540
LinJ.04	4-21499r	100.000	467	0	0	1	467	6	472	0.0	863	510
LinJ.04	4-9551d	100.000	467	0	0	1	467	6	472	0.0	863	511
LinJ.04	4-21499r	100.000	467	0	0	1	467	6	472	0.0	863	510
LinJ.04	4-9551d	100.000	467	0	0	1	467	6	472	0.0	863	511
LinJ.04	4-99098d	100.000	384	0	0	91	474	1	384	0.0	710	390
LinJ.05	5-22311d	100.000	491	0	0	1	491	12	502	0.0	907	502
LinJ.05	5-31472d	100.000	536	0	0	1	536	13	548	0.0	990	558
LinJ.05	5-91382d	100.000	504	0	0	1	504	548	45	0.0	931	582
LinJ.05	5-383337r	100.000	441	0	0	1	441	441	1	0.0	815	455
LinJ.05	5-436506r	100.000	520	0	0	1	520	546	27	0.0	961	554
LinJ.05	5-439751r	100.000	510	0	0	1	510	546	37	0.0	942	558
LinJ.06	6A-8987d	100.000	565	0	0	2	566	565	1	0.0	1044	565
LinJ.06	6A-22189r	100.000	565	0	0	17	581	565	1	0.0	1044	565
LinJ.06	6B-137877d	100.000	499	0	0	18	516	1	499	0.0	922	499
LinJ.06	6B-137877d	100.000	483	0	0	92	574	499	17	0.0	893	499
LinJ.06	6B-180315d	100.000	610	0	0	1	610	15	624	0.0	1127	628
LinJ.06	6B-189883d	100.000	541	0	0	1	541	39	579	0.0	1000	588
LinJ.06	6B-218084d	100.000	541	0	0	1	541	65	605	0.0	1000	609
LinJ.06	6B-246729d	100.000	593	0	0	1	593	39	631	0.0	1096	631
LinJ.06	22B-306134d	100.000	29	0	0	402	430	43	15	8.23e-09	54.7	413
LinJ.06	22B-248677r	100.000	29	0	0	402	430	43	15	8.23e-09	54.7	413
LinJ.06	22B-306134d	100.000	29	0	0	403	431	43	15	8.27e-09	54.7	413
LinJ.06	22B-248677r	100.000	29	0	0	403	431	43	15	8.27e-09	54.7	413
LinJ.06	6-511666r	100.000	428	0	0	39	466	428	1	0.0	791	428
LinJ.06	6-518081d	100.000	440	0	0	38	477	440	1	0.0	813	440
LinJ.07	7A-21888d	100.000	341	0	0	1	341	34	374	0.0	630	528
LinJ.07	7A-83058d	100.000	548	0	0	19	566	1	548	0.0	1013	548
LinJ.07	7A-114876d	100.000	503	0	0	9	511	1	503	0.0	929	510
LinJ.07	7A-160895r	100.000	511	0	0	1	511	17	527	0.0	944	534
LinJ.07	7-60968d	100.000	530	0	0	35	564	539	10	0.0	979	539
LinJ.07	7-306355d	100.000	428	0	0	49	476	1	428	0.0	791	428
LinJ.07	7A-341516r	100.000	456	0	0	1	456	1	456	0.0	843	456
LinJ.07	7B-507305d	100.000	497	0	0	1	497	16	512	0.0	918	591
LinJ.07	7B-532576d	100.000	497	0	0	1	497	16	512	0.0	918	592
LinJ.07	7B-563849d	100.000	551	0	0	1	551	34	584	0.0	1018	606
LinJ.07	7B-572024d	100.000	551	0	0	1	551	34	584	0.0	1018	596
LinJ.07	7B-554682d	100.000	408	0	0	144	551	66	473	0.0	754	495
LinJ.08	8A-104823d	100.000	440	0	0	23	462	1	440	0.0	813	519
LinJ.08	8A-35047d	100.000	440	0	0	23	462	1	440	0.0	813	521
LinJ.08	8B-221141d	100.000	433	0	0	37	469	1	433	0.0	800	433
LinJ.08	8B-286681d	100.000	430	0	0	42	471	1	430	0.0	795	430
LinJ.08	8-368237r	100.000	382	0	0	1	382	1	382	0.0	706	382
LinJ.08	8D-416197r	100.000	518	0	0	14	531	518	1	0.0	957	518
LinJ.08	8D-418791d	100.000	528	0	0	1	528	528	1	0.0	976	605
LinJ.08	8D-424641r	100.000	512	0	0	18	529	521	10	0.0	946	521
LinJ.08	8D-427645d	100.000	503	0	0	1	503	531	29	0.0	929	608
LinJ.08	8-462341d	100.000	740	0	0	2	741	1	740	0.0	1367	740
LinJ.08	8-466053d	100.000	719	0	0	1	719	26	744	0.0	1328	744
LinJ.08	8-478094d	100.000	452	0	0	107	558	1	452	0.0	835	452
LinJ.08	21-8C-644995d	100.000	719	0	0	1	719	40	758	0.0	1328	758
LinJ.09	9-27504d	100.000	513	0	0	17	529	1	513	0.0	948	557
LinJ.09	31I1_972687r	100.000	30	0	0	93	122	46	75	2.65e-09	56.5	237
LinJ.09	31I1_916463r	100.000	30	0	0	93	122	46	75	2.65e-09	56.5	476
LinJ.09	9B1-420075r	100.000	549	0	0	1	549	8	556	0.0	1014	601
LinJ.09	9B1-424976r	100.000	495	0	0	1	495	18	512	0.0	915	557
LinJ.09	9B1-439313r	100.000	525	0	0	1	525	1	525	0.0	970	594
LinJ.10	10D-543391d	100.000	440	0	0	104	543	462	23	0.0	813	462
LinJ.10	23-768910d	100.000	28	0	0	516	543	112	85	4.20e-08	52.8	552
LinJ.10	10A-79639d	100.000	579	0	0	27	605	726	148	0.0	1070	726
LinJ.10	23-768910d	100.000	28	0	0	475	502	112	85	3.93e-08	52.8	552
LinJ.10	23C-217908r	100.000	29	0	0	409	437	150	122	9.47e-09	54.7	500
LinJ.10	23C-202926r	100.000	29	0	0	409	437	194	166	9.47e-09	54.7	510
LinJ.10	10C-257255d	100.000	586	0	0	15	600	1	586	0.0	1083	586
LinJ.10	10C-330060r	100.000	581	0	0	1	581	617	37	0.0	1074	619
LinJ.10	10C-332815r	100.000	524	0	0	1	524	23	546	0.0	968	555
LinJ.10	10D-489617r	100.000	502	0	0	50	551	524	23	0.0	928	524
LinJ.10	10D-506655d	100.000	393	0	0	65	457	393	1	0.0	726	393
